"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2258","TC_ISSUE_001_Reproduce_BrokenImages","SAHomeLoansSauceDemo","Sun Jan 04 22:50:03 UTC 2026","failed","Sun Jan 04 22:50:05 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_001_Reproduce_BrokenImages"
"","1966","AUTH007_Logout_RedirectsToLoginPage","SAHomeLoansSauceDemo","Sun Jan 04 22:50:05 UTC 2026","passed","Sun Jan 04 22:50:07 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH007_Logout_RedirectsToLoginPage"
"","1124","TC_ISSUE_005_Reproduce_EmptyCartCheckout","SAHomeLoansSauceDemo","Sun Jan 04 22:50:13 UTC 2026","failed","Sun Jan 04 22:50:14 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_005_Reproduce_EmptyCartCheckout"
"","1205","CART009_ClickCheckout_NavigatesToInformationPage","SAHomeLoansSauceDemo","Sun Jan 04 22:50:05 UTC 2026","passed","Sun Jan 04 22:50:06 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CART009_ClickCheckout_NavigatesToInformationPage"
"","857","PROD004_SortByNameZToA_UpdatesListOrder","SAHomeLoansSauceDemo","Sun Jan 04 22:50:13 UTC 2026","passed","Sun Jan 04 22:50:13 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD004_SortByNameZToA_UpdatesListOrder"
"","1173","CHKT001_SubmitValidInformation_NavigatesToOverviewPage","SAHomeLoansSauceDemo","Sun Jan 04 22:50:06 UTC 2026","passed","Sun Jan 04 22:50:07 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT001_SubmitValidInformation_NavigatesToOverviewPage"
"","6143","TC_ISSUE_003_Reproduce_CartRemoveFailure","SAHomeLoansSauceDemo","Sun Jan 04 22:50:06 UTC 2026","broken","Sun Jan 04 22:50:12 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_003_Reproduce_CartRemoveFailure"
"","842","PROD005_SortByPriceLowToHigh_UpdatesListOrder","SAHomeLoansSauceDemo","Sun Jan 04 22:50:13 UTC 2026","passed","Sun Jan 04 22:50:14 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD005_SortByPriceLowToHigh_UpdatesListOrder"
"","847","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount","SAHomeLoansSauceDemo","Sun Jan 04 22:50:09 UTC 2026","passed","Sun Jan 04 22:50:10 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT008_CheckoutOverview_DisplaysCorrectTaxAmount"
"","2195","AUTH001_ValidUser_RedirectsToInventory","SAHomeLoansSauceDemo","Sun Jan 04 22:50:03 UTC 2026","passed","Sun Jan 04 22:50:05 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","AUTH001_ValidUser_RedirectsToInventory"
"","1085","TC_ISSUE_004_Reproduce_LastNameInputBug","SAHomeLoansSauceDemo","Sun Jan 04 22:50:12 UTC 2026","failed","Sun Jan 04 22:50:13 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_004_Reproduce_LastNameInputBug"
"","823","PROD006_SortByPriceHighToLow_UpdatesListOrder","SAHomeLoansSauceDemo","Sun Jan 04 22:50:14 UTC 2026","passed","Sun Jan 04 22:50:15 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD006_SortByPriceHighToLow_UpdatesListOrder"
"","1278","TC_ISSUE_002_Reproduce_SortingFailure","SAHomeLoansSauceDemo","Sun Jan 04 22:50:05 UTC 2026","failed","Sun Jan 04 22:50:06 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_002_Reproduce_SortingFailure"
"","834","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum","SAHomeLoansSauceDemo","Sun Jan 04 22:50:10 UTC 2026","passed","Sun Jan 04 22:50:11 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT009_CheckoutOverview_DisplaysCorrectTotalSum"
"","2152","CART007_AddProductToCart_DisplaysCorrectDetailsOnCartPage","SAHomeLoansSauceDemo","Sun Jan 04 22:50:03 UTC 2026","passed","Sun Jan 04 22:50:05 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CART007_AddProductToCart_DisplaysCorrectDetailsOnCartPage"
"","1040","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo","SAHomeLoansSauceDemo","Sun Jan 04 22:50:07 UTC 2026","passed","Sun Jan 04 22:50:08 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT006_CheckoutOverview_DisplaysCorrectSummaryInfo"
"","997","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal","SAHomeLoansSauceDemo","Sun Jan 04 22:50:08 UTC 2026","passed","Sun Jan 04 22:50:09 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","CHKT007_CheckoutOverview_DisplaysCorrectSubtotal"
"","1113","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage","SAHomeLoansSauceDemo","Sun Jan 04 22:50:08 UTC 2026","passed","Sun Jan 04 22:50:09 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CHKT011_CHKT012_CompleteCheckout_DisplaysThankYouMessage"
"","997","CART001_AddBackpack_UpdatesBadgeCount","SAHomeLoansSauceDemo","Sun Jan 04 22:50:07 UTC 2026","passed","Sun Jan 04 22:50:08 UTC 2026","CriticalUiTests","SAHomeLoansSauceDemo.Tests","CriticalUiTests","CART001_AddBackpack_UpdatesBadgeCount"
"","800","PROD001_VerifyAllProducts_DisplaysCorrectCountAndInfo","SAHomeLoansSauceDemo","Sun Jan 04 22:50:11 UTC 2026","passed","Sun Jan 04 22:50:12 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD001_VerifyAllProducts_DisplaysCorrectCountAndInfo"
"","827","PROD003_SortByNameAToZ_UpdatesListOrder","SAHomeLoansSauceDemo","Sun Jan 04 22:50:12 UTC 2026","passed","Sun Jan 04 22:50:13 UTC 2026","HighUiTests","SAHomeLoansSauceDemo.Tests","HighUiTests","PROD003_SortByNameAToZ_UpdatesListOrder"
"","5904","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch","SAHomeLoansSauceDemo","Sun Jan 04 22:50:14 UTC 2026","failed","Sun Jan 04 22:50:20 UTC 2026","IssueTest","SAHomeLoansSauceDemo.Tests","IssueTest","TC_ISSUE_006_Reproduce_LoginPerformanceGlitch"
